,PTS,2PA,3PA,FTA,TPA
0,8573,6952,75,2645,9672
1,9303,6965,422,2449,9836
2,8813,6668,275,2592,9535
3,9360,7854,187,2205,10246
4,8878,7215,255,2539,10009
5,8933,7377,219,2149,9745
6,8493,7197,121,1914,9232
7,9084,7117,379,2326,9822
8,9119,7375,314,2333,10022
9,8860,7375,114,2250,9739
10,9438,7268,100,2092,9460
11,9025,7398,155,2102,9655
12,8879,7206,298,2406,9910
13,9344,7481,191,2274,9946
14,8949,7031,125,2431,9587
15,9114,6955,280,2466,9701
16,8402,7035,132,2100,9267
17,9788,7532,206,2528,10266
18,8820,6951,543,2167,9661
19,8897,7376,189,2253,9818
20,8394,6632,185,1943,8760
21,8773,7558,238,2048,9844
22,8604,6784,82,2590,9456
23,9008,6858,241,2369,9468
24,8937,6724,179,2563,9466
25,8670,7360,249,1909,9518
26,8322,6763,165,2487,9415
27,9986,7815,145,3051,11011
28,8174,6902,84,2330,9316
29,9006,7074,210,2513,9797
30,8878,7217,118,2223,9558
31,8827,7076,169,2540,9785
32,8769,6983,168,2206,9357
33,9117,7288,94,2113,9495
34,9276,7341,131,2340,9812
35,8768,7176,138,2371,9685
36,8849,7019,236,2386,9641
37,9156,6989,84,2427,9500
38,9019,7165,161,2430,9756
39,9080,7387,148,2191,9726
40,9209,7191,85,2668,9944
41,8737,6876,407,2246,9529
42,8531,7028,117,2376,9521
43,8301,6662,163,2080,8905
44,8662,7276,241,2072,9589
45,8281,6648,128,2387,9163
46,9180,7150,184,2457,9791
47,8743,6515,213,2545,9273
48,8463,7197,137,2179,9513
49,8575,7034,190,2366,9590
50,10371,7507,149,2978,10634
51,9112,7178,213,2581,9972
52,9092,7024,325,2382,9731
53,8680,7190,176,2225,9591
54,8379,6848,316,2176,9340
55,8785,7154,130,2158,9442
56,9400,7491,94,2161,9746
57,8890,6851,164,2329,9344
58,8746,7081,146,2354,9581
59,8707,6964,214,2171,9349
60,9119,6835,139,2471,9445
61,8705,6966,174,2157,9297
62,9006,7047,140,2387,9574
63,9272,7361,252,2335,9948
64,8896,6763,338,2341,9442
65,8795,7025,153,2362,9540
66,9094,7349,97,2282,9728
67,8485,6932,236,2105,9273
68,8335,6958,188,2111,9257
69,9191,7361,186,2348,9895
70,9102,7164,209,2690,10063
71,7964,6875,120,1983,8978
72,9243,7365,185,2462,10012
73,10105,7873,126,2696,10695
74,9239,7330,272,2588,10190
75,8908,7358,150,2199,9707
76,8145,7175,271,1934,9380
77,8911,7487,236,1910,9633
78,9328,7270,215,2530,10015
79,9433,7416,96,2031,9543
80,8740,6964,169,2299,9432
81,8672,6991,149,2301,9441
82,8198,6662,131,2282,9075
83,9191,7103,109,2650,9862
84,8776,7000,158,2189,9347
85,8808,6974,150,2512,9636
86,9375,7032,308,2468,9808
87,8903,7372,262,2195,9829
88,9019,7139,138,2459,9736
89,8938,7159,183,2440,9782
90,8134,6822,237,2059,9118
91,8321,6703,106,2414,9223
92,9194,7006,229,2407,9642
93,8501,6855,117,2508,9480
94,8386,7068,164,2178,9410
95,9052,7051,184,2350,9585
96,10147,7728,255,2690,10673
97,9602,7769,141,2547,10457
98,9008,7308,226,2577,10111
99,9071,7379,154,2139,9672
100,8566,6923,207,2119,9249
101,9023,7041,189,2495,9725
102,9478,7024,226,2272,9522
103,8666,6738,232,2354,9324
104,9019,7026,232,2488,9746
105,8763,6672,165,2510,9347
106,8838,6726,107,2706,9539
107,9101,6929,291,2204,9424
108,9277,7060,129,2637,9826
109,9862,7458,263,2604,10325
110,9077,7197,128,2424,9749
111,8865,6943,140,2460,9543
112,9428,6925,317,2708,9950
113,8423,6625,282,2201,9108
114,8743,6884,235,2371,9490
115,9412,7016,309,2307,9632
116,8916,6748,161,2526,9435
117,8903,7029,335,2491,9855
118,9116,6837,443,2324,9604
119,9841,7741,235,2568,10544
120,9508,7800,199,2262,10261
121,9052,7158,397,2531,10086
122,9118,7254,186,2261,9701
123,8879,7169,155,2516,9840
124,9413,7037,238,2595,9870
125,8784,6931,188,2208,9327
126,9696,6959,295,2232,9486
127,9090,6962,294,2473,9729
128,8975,7221,224,2237,9682
129,8627,6903,198,2350,9451
130,9261,6768,224,2883,9875
131,8858,6837,307,2280,9424
132,9469,7172,202,2667,10041
133,9412,7000,202,2571,9773
134,8376,6725,185,2305,9215
135,8937,6995,307,2434,9736
136,8655,6985,398,1989,9372
137,8906,6863,166,2704,9733
138,9359,6919,393,2248,9560
139,8962,6910,317,2499,9726
140,8836,6848,391,2325,9564
141,9453,6808,446,2643,9897
142,9410,7563,305,2416,10284
143,9363,7568,182,2300,10050
144,9299,7289,278,2517,10084
145,9379,7361,310,2434,10105
146,8519,7007,143,2183,9333
147,8907,6936,229,2683,9848
148,9618,6934,409,2329,9672
149,9390,6928,382,2701,10011
150,8949,7087,214,2396,9697
151,8094,6795,239,2237,9271
152,9051,6834,224,2810,9868
153,9023,6810,183,2683,9676
154,9436,7006,275,2799,10080
155,8924,7086,134,2338,9558
156,9120,6908,196,2523,9627
157,8564,6759,300,2331,9390
158,8871,6914,169,2694,9777
159,8442,6740,408,2286,9434
160,9024,6716,425,2661,9802
161,9237,6486,565,2153,9204
162,8596,6856,299,2254,9409
163,8558,6784,338,2554,9676
164,9567,6720,653,2717,10090
165,9569,7560,391,2568,10519
166,9118,7068,169,2602,9839
167,9188,7048,364,2526,9938
168,8765,6938,324,2355,9617
169,8698,7008,316,2170,9494
170,8566,6984,348,2515,9847
171,9656,6798,447,2550,9795
172,9052,6710,572,2549,9831
173,8893,6634,449,2607,9690
174,8508,6648,375,2362,9385
175,8729,6452,340,2617,9409
176,9111,6938,252,2499,9689
177,9667,6910,339,2928,10177
178,9095,7106,307,2479,9892
179,8882,7053,403,2292,9748
180,9325,6880,571,2571,10022
181,8844,7066,448,2389,9903
182,8690,7179,218,2531,9928
183,8844,6820,282,2441,9543
184,9315,6200,705,2300,9205
185,8609,6772,243,2221,9236
186,8566,6419,336,2438,9193
187,8960,6665,526,2510,9701
188,9573,7399,562,2289,10250
189,8957,6816,202,2612,9630
190,8771,7092,312,2204,9608
191,8935,7063,291,2483,9837
192,8581,6669,485,1982,9136
193,8103,6877,317,2305,9499
194,9250,6600,478,2480,9558
195,8697,6669,410,2364,9443
196,8235,6402,455,2308,9165
197,8655,6665,567,2306,9538
198,8667,6314,471,2731,9516
199,8901,6945,357,2200,9502
200,9518,7080,380,2701,10161
201,8855,6887,450,2324,9661
202,9314,7147,412,2412,9971
203,9135,6805,638,2442,9885
204,8899,6688,404,2404,9496
205,8653,7026,138,2476,9640
206,9102,6833,397,2709,9939
207,8958,6834,309,2349,9492
208,8566,7000,430,2060,9490
209,8726,6438,530,2106,9074
210,8923,6430,474,2438,9342
211,8484,6236,681,2263,9180
212,9675,7464,676,2314,10454
213,8740,6479,400,2379,9258
214,9558,7348,629,2384,10361
215,8897,6673,523,2527,9723
216,8767,6330,615,2275,9220
217,8712,7194,234,2220,9648
218,9406,6476,667,2508,9651
219,8016,6818,298,2103,9219
220,8932,6600,567,2382,9549
221,8506,6658,568,2260,9486
222,9567,6464,1147,2366,9977
223,9174,6555,646,2504,9705
224,9727,7064,481,2594,10139
225,9395,7150,645,2416,10211
226,8651,6527,824,2104,9455
227,8652,7116,293,2367,9776
228,9196,6704,774,2379,9857
229,8588,6215,380,2742,9337
230,8879,7348,243,2318,9909
231,8901,6608,411,2544,9563
232,9023,6744,404,2153,9301
233,8232,6572,611,1967,9150
234,8977,6421,669,2140,9230
235,8411,6126,851,2201,9178
236,8384,6345,486,2261,9092
237,9397,7338,677,2201,10216
238,8556,6439,541,2252,9232
239,9534,6458,750,2858,10066
240,8752,6759,491,2267,9517
241,8962,6037,770,2335,9142
242,8509,6623,230,2458,9311
243,9079,6169,841,2417,9427
244,8247,7045,300,2028,9373
245,8691,6476,670,2273,9419
246,7803,6582,294,2137,9013
247,8208,6909,506,2350,9765
248,8879,6379,710,2349,9438
249,9090,7132,393,2725,10250
250,9039,6485,543,2509,9537
251,9423,6596,543,2716,9855
252,9365,6982,565,2734,10281
253,8341,6407,649,1964,9020
254,8718,6771,226,2535,9532
255,8769,6593,650,2167,9410
256,8760,5963,630,2484,9077
257,8832,7384,197,2093,9674
258,9003,6387,836,2544,9767
259,9145,6868,346,1997,9211
260,8428,6616,417,2214,9247
261,9024,6701,424,2111,9236
262,8343,6378,479,2176,9033
263,8195,6290,600,1986,8876
264,9828,7809,1059,2263,11131
265,8205,6435,440,2211,9086
266,9564,6545,801,2761,10107
267,8753,6298,989,2200,9487
268,9159,6245,749,2479,9473
269,8491,6881,434,2273,9588
270,8717,6167,744,2261,9172
271,8349,6675,464,2307,9446
272,8727,6195,753,2241,9189
273,8169,6895,381,2082,9358
274,8441,6873,586,2245,9704
275,8455,6264,558,2147,8969
276,8684,6502,754,2447,9703
277,8641,6307,618,2366,9291
278,9348,6767,432,2680,9879
279,9407,6465,904,2538,9907
280,7928,6240,578,2105,8923
281,8782,6691,297,2459,9447
282,8744,6690,427,2143,9260
283,8527,6079,458,2472,9009
284,8313,6984,284,2028,9296
285,8711,6805,671,2074,9550
286,8745,6837,359,1917,9113
287,8980,7199,369,2168,9736
288,9011,6714,454,2132,9300
289,8926,6317,708,2259,9284
290,8007,6307,797,1999,9103
291,8176,6962,418,2067,9447
292,8113,6341,526,2108,8975
293,9732,6664,763,2606,10033
294,8366,5935,959,2020,8914
295,9197,6139,940,2364,9443
296,8440,6574,502,2223,9299
297,8229,6532,445,2278,9255
298,8608,6310,751,2329,9390
299,8609,6211,1005,2104,9320
300,8237,6948,394,1857,9199
301,8641,6910,670,2009,9589
302,8328,6329,618,2049,8996
303,8330,6494,608,2268,9370
304,8358,6081,680,2267,9028
305,9194,6623,596,2397,9616
306,9135,6408,944,2463,9815
307,8549,6514,675,2162,9351
308,8524,6686,404,2246,9336
309,8737,6481,647,2263,9391
310,8877,6408,458,2490,9356
311,8395,6764,537,1956,9257
312,8814,6196,1076,2221,9493
313,8502,6710,383,1912,9005
314,9030,6673,537,2374,9584
315,8625,6536,669,1952,9157
316,8832,6145,742,2119,9006
317,8141,6434,837,2171,9442
318,8626,6828,454,2360,9642
319,8252,6303,908,1957,9168
320,9014,6360,852,2465,9677
321,8531,5671,1073,2090,8834
322,8836,6233,789,2399,9421
323,8783,6838,491,2177,9506
324,8546,6368,626,2304,9298
325,8495,5910,940,2476,9326
326,8392,5988,936,2081,9005
327,8046,5960,569,2247,8776
328,8431,6596,488,2258,9342
329,8328,6294,604,2316,9214
330,8652,5819,889,2495,9203
331,8556,6134,941,2259,9334
332,9298,5998,1095,2539,9632
333,8898,6500,843,2551,9894
334,8847,6476,788,2447,9711
335,8652,6070,692,2346,9108
336,8884,6530,610,2259,9399
337,8709,6414,414,2491,9319
338,8353,6487,578,2107,9172
339,8318,6209,830,2070,9109
340,8267,6580,477,2003,9060
341,8732,6184,916,2135,9235
342,8033,6156,659,1859,8674
343,8296,5918,813,2254,8985
344,7801,6297,773,1942,9012
345,8221,6184,597,2423,9204
346,7949,5976,1041,1715,8732
347,8844,6286,859,2304,9449
348,8292,5448,1285,1978,8711
349,8280,6016,500,2387,8903
350,8447,6332,831,2128,9291
351,8233,6513,803,1967,9283
352,8475,5899,997,2223,9119
353,7949,5788,1019,2181,8988
354,7930,5978,557,2303,8838
355,8461,6432,683,2495,9610
356,8076,5827,908,2097,8832
357,8666,5746,1137,2346,9229
358,8033,5877,942,2112,8931
359,8876,6038,1042,2301,9381
360,8795,6657,770,2396,9823
361,8291,6298,729,2292,9319
362,8202,5974,714,2151,8839
363,8687,6179,722,2374,9275
364,8354,6170,559,2379,9108
365,8229,6082,744,2162,8988
366,7921,5100,1580,1948,8628
367,8428,5863,984,2268,9115
368,8249,5029,1409,2042,8480
369,8325,5523,1187,2065,8775
370,7417,5222,1033,1982,8237
371,8462,6142,1200,2210,9552
372,8309,5301,1160,2305,8766
373,8053,5237,1396,1941,8574
374,8667,5271,1602,2395,9268
375,8491,4822,1757,2039,8618
376,8136,5263,985,2390,8638
377,7927,5837,1051,2079,8967
378,8616,5596,1492,2072,9160
379,8293,5556,1182,2133,8871
380,8146,5237,1349,2259,8845
381,7726,5203,1016,2355,8574
382,8042,5441,1297,2305,9043
383,8054,4948,1446,2114,8508
384,9091,5487,1412,2465,9364
385,7820,5641,936,2125,8702
386,9073,5383,1584,2352,9319
387,8451,5868,1266,2230,9364
388,8056,5426,1037,2317,8780
389,8742,5529,1158,2487,9174
390,9055,5436,1305,2564,9305
391,8726,5538,801,2483,8822
392,8242,5635,1264,2013,8912
393,8059,5070,1595,2012,8677
394,8495,5489,1453,2284,9226
395,8431,5098,1520,2119,8737
396,8625,5543,1349,2004,8896
397,7473,4416,1582,1775,7773
398,8409,5392,2039,1975,9406
399,8013,5509,1148,2173,8830
400,7822,4772,1350,2206,8328
401,8334,5501,1199,2340,9040
402,8404,4877,1761,2106,8744
403,8144,5232,973,2416,8621
404,8153,5244,1374,1984,8602
405,8438,5347,1359,2049,8755
406,7909,4890,1458,2187,8535
407,7837,5434,1056,1914,8404
408,8024,5624,857,2314,8795
409,7684,6004,746,2244,8994
410,7971,5097,1285,1954,8336
411,8571,4995,1645,2232,8872
412,7746,4980,1438,2263,8681
413,8552,5689,984,2472,9145
414,8145,5330,1358,2321,9009
415,8163,5300,1194,2407,8901
416,8477,5282,1320,2261,8863
417,8572,4805,1596,2424,8825
418,7994,5430,1168,1953,8551
419,8404,5404,1013,2302,8719
420,7362,5354,1129,1998,8481
421,8408,5406,1212,2076,8694
422,7774,4473,1834,1955,8262
423,8248,5636,1331,2199,9166
424,8108,4960,1382,1984,8326
425,8458,5520,1403,1848,8771
426,7173,4688,1284,1773,7745
427,7431,5136,1316,1918,8370
428,8020,4976,1711,1992,8679
429,7723,4596,1499,1995,8090
430,8171,5204,1363,2180,8747
431,8248,4645,1839,1992,8476
432,7819,5124,1130,2336,8590
433,7969,5357,1339,2074,8770
434,8200,5142,1500,2330,8972
435,7776,4370,1865,2022,8257
436,7818,5383,920,2104,8407
437,7882,5343,1093,2180,8616
438,7974,5720,1371,2031,9122
439,7819,4933,1294,2119,8346
440,7719,4835,1662,1975,8472
441,8215,5494,1356,2450,9300
442,8431,5277,1428,2125,8830
443,8114,5064,1401,2261,8726
444,7908,5553,1058,2067,8678
445,7418,5211,1180,1929,8320
446,8274,4832,1583,2295,8710
447,7829,5008,1624,2008,8640
448,8454,5315,902,2416,8633
449,7313,5179,1274,1734,8187
450,8147,5677,1001,1979,8657
451,7860,5336,1016,2314,8666
452,7864,5685,1249,1964,8898
453,7923,5440,904,2186,8530
454,7931,5839,962,2009,8810
455,7585,5406,801,2187,8394
456,7494,5571,1183,1738,8492
457,7300,5519,893,2147,8559
458,7721,5435,938,2288,8661
459,7237,6187,696,1912,8795
460,8099,4843,1670,2120,8633
461,7874,5194,1029,2136,8359
462,7865,5222,1468,2047,8737
463,8652,5121,1415,2743,9279
464,7787,4783,1544,2082,8409
465,7748,5696,703,2167,8566
466,8290,5971,873,2253,9097
467,8170,5991,937,2351,9279
468,7509,5274,1139,1812,8225
469,7387,5548,907,2138,8593
470,7651,5599,810,2352,8761
471,8166,5499,1211,1948,8658
472,7734,5350,1047,2226,8623
473,7637,5878,806,2096,8780
474,7587,5324,863,2164,8351
475,8246,4889,1569,2109,8567
476,7781,5727,1086,2060,8873
477,8279,5443,670,2644,8757
478,7923,5669,898,2145,8712
479,7969,5867,944,2156,8967
480,7735,5993,814,1987,8794
481,8146,5620,1260,2175,9055
482,8072,5532,1001,2458,8991
483,6952,5148,1032,2089,8269
484,7950,5815,919,2205,8939
485,8316,5721,1326,1751,8798
486,8115,5514,1397,2116,9027
487,8483,5412,1223,2506,9141
488,7834,6071,1069,2147,9287
489,8156,5039,1625,2145,8809
490,8306,5153,1487,2008,8648
491,7546,5490,1267,1826,8583
492,8267,5789,1047,2368,9204
493,7739,5260,1202,1827,8289
494,8300,5758,1069,1982,8809
495,8079,6194,716,1769,8679
496,8036,5507,1374,2041,8922
497,7555,5437,937,1805,8179
498,8206,6144,870,2142,9156
499,7771,6133,643,2226,9002
500,8111,5525,1246,1934,8705
501,7991,5302,1128,2029,8459
502,8607,5632,1656,2016,9304
503,7886,5511,882,2214,8607
504,8125,5335,1611,1960,8906
505,7968,5711,1171,2068,8950
506,7914,5526,854,2150,8530
507,7702,5543,898,2060,8501
508,7921,5791,890,2107,8788
509,7459,5735,933,1811,8479
510,7759,4852,1633,2190,8675
511,7539,5517,984,2146,8647
512,7181,5461,950,1909,8320
513,7561,5873,659,2040,8572
514,8239,5359,1357,1954,8670
515,7918,5433,1444,1964,8841
516,7837,5768,1112,2233,9113
517,7584,6211,964,2024,9199
518,7972,5082,1412,2086,8580
519,7591,5272,1159,2009,8440
520,7581,5404,1063,2061,8528
521,8251,5410,1275,2333,9018
522,7289,4874,1384,1874,8132
523,8260,5317,1481,1874,8672
524,7982,5970,901,1737,8608
525,7552,5466,1084,2146,8696
526,7275,5083,1115,1727,7925
527,7992,5527,1346,2068,8941
528,7763,5684,803,2277,8764
529,7710,5703,1054,1973,8730
530,7824,5360,1057,1899,8316
531,8343,5616,1353,2075,9044
532,7886,5168,1094,2340,8602
533,7978,5480,1169,1986,8635
534,8007,5808,1164,1984,8956
535,7959,5437,852,2280,8569
536,7522,5592,947,1892,8431
537,7645,5605,848,2245,8698
538,7711,5416,1194,1942,8552
539,7901,4785,1946,1960,8691
540,7700,5586,994,2105,8685
541,7335,5623,868,1958,8449
542,7812,5556,1026,1980,8562
543,8629,5285,1645,1994,8924
544,7559,5585,1285,1756,8626
545,7735,4791,1509,1954,8254
546,8009,5995,994,2344,9333
547,7572,5149,1480,1893,8522
548,7938,5385,1195,2155,8735
549,7846,5521,1147,2026,8694
550,8304,5401,1439,2138,8978
551,7372,5439,1096,1883,8418
552,7150,5483,899,1708,8090
553,7996,4994,1583,1767,8344
554,8145,5840,1047,1754,8641
555,7889,5622,1194,1907,8723
556,7514,5176,1344,1786,8306
557,8240,5233,1660,1917,8810
558,7461,5721,715,2104,8540
559,7802,5838,1096,1630,8564
560,7925,5353,1318,1901,8572
561,8578,5843,1160,2154,9157
562,7932,5152,1211,2249,8612
563,8014,5389,1292,1672,8353
564,7494,5618,1109,1717,8444
565,7871,5532,842,2430,8804
566,7609,5878,786,1866,8530
567,7714,5293,1141,2011,8445
568,7599,4354,2155,1994,8503
569,7786,5717,997,2014,8728
570,7495,5850,896,2012,8758
571,8444,5314,1668,1793,8775
572,6901,5720,824,1850,8394
573,7492,4789,1488,2021,8298
574,8400,5706,1235,2382,9323
575,7688,5194,1267,2044,8505
576,7940,5489,1119,2271,8879
577,7693,5312,1178,2177,8667
578,8230,5489,1367,2129,8985
579,7995,5464,1279,1936,8679
580,7016,5417,1100,1689,8206
581,8158,5144,1526,1911,8581
582,8046,6005,804,1826,8635
583,7820,5544,1041,2195,8780
584,7699,5620,1075,1910,8605
585,7860,5143,1582,1620,8345
586,8078,5173,1590,2079,8842
587,7941,5853,787,2253,8893
588,7834,5627,1149,1928,8704
589,7803,5341,1150,1947,8438
590,8342,5702,1288,1832,8822
591,7856,5027,1270,2194,8491
592,7555,5308,1291,1780,8379
593,7453,5471,1193,1879,8543
594,7762,5548,641,2349,8538
595,7502,5583,811,2077,8471
596,7611,5280,1249,1976,8505
597,7811,4816,1599,2095,8510
598,7355,5497,1256,1834,8587
599,7619,5967,786,2030,8783
600,8626,5774,1456,1854,9084
601,7972,5778,985,2159,8922
602,7388,5346,968,2074,8388
603,7649,5228,1283,2028,8539
604,7362,4789,1406,1774,7969
605,7493,5041,1281,2014,8336
606,7771,5555,1024,2302,8881
607,8052,5561,1115,2352,9028
608,7930,5343,1314,2143,8800
609,7402,5060,1357,1915,8332
610,8039,5505,1145,2192,8842
611,7753,5674,897,1743,8314
612,7401,5249,1123,1856,8228
613,7529,4939,1666,1937,8542
614,7542,5398,1115,1732,8245
615,7711,5520,1248,2000,8768
616,7215,5268,992,2009,8269
617,7723,5469,1202,1865,8536
618,7440,5365,1102,1728,8195
619,8433,5213,1498,2044,8755
620,7501,5294,1140,2069,8503
621,7964,4654,1936,1782,8372
622,7006,5054,1294,1650,7998
623,7271,5386,786,2196,8368
624,7528,5287,1269,2211,8767
625,7605,5699,973,1994,8666
626,8304,5259,1252,2323,8834
627,7729,5978,881,2096,8955
628,7745,5159,1433,2048,8640
629,7914,5783,904,2174,8861
630,8405,5418,1273,2314,9005
631,8161,5675,940,2313,8928
632,7653,5368,1053,2150,8571
633,8094,5265,1774,1955,8994
634,7796,4898,1521,1986,8405
635,7626,4594,1575,2206,8375
636,7849,5699,669,2274,8642
637,8095,4816,1813,2137,8766
638,7661,4785,1486,2024,8295
639,8327,5108,1260,2466,8834
640,7973,5655,925,2229,8809
641,7934,5484,1145,1820,8449
642,7496,5216,1203,2039,8458
643,7252,5240,1316,1830,8386
644,7977,5359,1240,2060,8659
645,8160,5763,916,2335,9014
646,8128,5283,1453,2194,8930
647,9054,4992,2026,2080,9098
648,7621,5261,1161,1944,8366
649,8505,5582,1396,2004,8982
650,7888,5055,1395,2120,8570
651,8113,4674,1824,2131,8629
652,8178,4975,1681,2101,8757
653,7625,5539,762,2272,8573
654,8241,5296,1498,2476,9270
655,7972,5342,1154,2207,8703
656,8033,5032,1290,2204,8526
657,7943,5582,1261,2186,9029
658,8020,5260,1477,1967,8704
659,8002,4947,1465,2318,8730
660,8130,5262,1113,2322,8697
661,8227,5596,1076,2312,8984
662,7941,5107,1451,1950,8508
663,8076,4953,1832,2190,8975
664,7387,4838,1414,1980,8232
665,7699,4738,1536,2158,8432
666,7970,5600,843,2142,8585
667,8154,5024,1583,2172,8779
668,7558,4547,1578,2077,8202
669,8191,4914,1441,2310,8665
670,8020,5231,1335,2115,8681
671,7522,5398,942,1895,8235
672,7691,4870,1447,2187,8504
673,7611,5543,885,2176,8604
674,7842,5322,884,2587,8793
675,7784,5371,796,2277,8444
676,8147,5515,1031,2330,8876
677,8886,5070,2097,1475,8642
678,7285,5225,1042,1944,8211
679,8106,5092,1408,2173,8673
680,7837,4980,1362,1891,8233
681,8411,5080,1631,2104,8815
682,8287,5019,1620,2089,8728
683,7573,5282,925,2466,8673
684,8336,5262,1394,2496,9152
685,7680,5334,1038,2203,8575
686,7857,5171,1283,2178,8632
687,7945,5363,1280,2136,8779
688,8100,5426,1237,2083,8746
689,7934,5254,1404,2133,8791
690,8201,5038,1404,2045,8487
691,8639,5365,1440,2449,9254
692,7872,5179,1305,1988,8472
693,8737,5081,1967,2113,9161
694,7953,4635,1893,1906,8434
695,7840,5172,1389,2125,8686
696,7843,5415,903,2245,8563
697,8474,4940,1724,2221,8885
698,8331,5086,1362,2410,8858
699,7759,4749,1539,2019,8307
700,8172,5242,1472,1919,8633
701,7877,5414,1089,1892,8395
702,8001,4703,1676,2153,8532
703,7833,5418,1256,1941,8615
704,7994,4986,1370,2396,8752
705,7771,5128,962,2393,8483
706,7785,5585,823,2135,8543
707,9037,4890,1965,1827,8682
708,7717,5160,1232,2006,8398
709,8303,5019,1513,2473,9005
710,8079,4767,1561,1980,8308
711,8130,5177,1451,1911,8539
712,8157,5083,1464,1982,8529
713,8322,5415,1056,2462,8933
714,8556,5206,1614,2425,9245
715,8054,5474,1078,2227,8779
716,8245,4722,1564,2176,8462
717,7959,5111,1443,2115,8669
718,7981,5556,1305,2029,8890
719,7903,5153,1544,2061,8758
720,8234,5112,1403,2075,8590
721,9074,5433,1605,2519,9557
722,7992,5221,1330,1965,8516
723,9105,5221,2185,2044,9450
724,7931,4991,1707,1848,8546
725,8527,4972,2021,2042,9035
726,7692,5366,1079,2178,8623
727,8904,5067,1751,2270,9088
728,8257,4958,1779,2097,8834
729,7491,4963,1373,1903,8239
730,7956,5432,1313,1980,8725
731,7839,5558,1259,1693,8510
732,7857,5020,1430,2237,8687
733,8270,5175,1621,1707,8503
734,7948,5303,1454,2095,8852
735,8567,4372,2074,2288,8734
736,7923,5696,952,2137,8785
737,9026,5018,1764,1977,8759
738,7820,5120,1426,1841,8387
739,8408,5191,1367,2272,8830
740,7820,4814,1610,1774,8198
741,7999,6093,939,1866,8898
742,8215,5267,1459,1658,8384
743,8710,5497,1095,2298,8890
744,8104,5081,1614,1991,8686
745,8046,4818,1633,2085,8536
746,8275,4978,1355,2075,8408
747,7677,4960,1339,1965,8264
748,8378,5553,1293,2052,8898
749,8223,4784,1670,2012,8466
750,8343,5138,1632,1852,8622
751,8555,5033,1477,2487,8997
752,7727,5480,1079,1849,8408
753,8905,5580,1475,2392,9447
754,8070,4870,1656,1903,8429
755,8617,5355,1725,1890,8970
756,7799,5183,1513,1839,8535
757,8768,5465,1516,2087,9068
758,7698,5205,1106,2077,8388
759,8061,5015,1631,1871,8517
760,8142,5347,1408,2067,8822
761,8019,5227,1539,1957,8723
762,8044,4801,1735,1980,8516
763,7857,4840,1526,1833,8199
764,8627,4807,2284,1900,8991
765,7952,5767,949,2069,8785
766,8286,4269,2147,2253,8669
767,7987,5460,1072,2216,8748
768,8974,5250,1445,2251,8946
769,8153,4939,1555,1988,8482
770,8248,5091,1594,2107,8792
771,7958,4914,1620,1641,8175
772,8121,5384,1289,1861,8534
773,8492,5501,1122,2352,8975
774,7877,5457,1198,1948,8603
775,8338,5346,1455,1914,8715
776,8136,4861,1433,2090,8384
777,7813,4975,1331,2180,8486
778,7993,5759,1066,1962,8787
779,8373,4809,1582,2180,8571
780,8364,5262,1498,1870,8630
781,8729,5161,1517,2508,9186
782,7709,5412,1190,1998,8600
783,8922,5407,1687,2085,9179
784,8395,5085,1838,2022,8945
785,8263,4927,1896,2019,8842
786,7849,5144,1457,1867,8468
787,8339,5313,1562,1985,8860
788,8404,5855,1020,2202,9077
789,7914,5092,1426,1931,8449
790,8009,5185,1813,1675,8673
791,8051,5742,1181,1926,8849
792,7575,5369,1185,2015,8569
793,8220,5270,1572,1661,8503
794,8373,4731,2145,1759,8635
795,8322,5400,1229,2210,8839
796,8426,4153,2241,2176,8570
797,8014,5325,1381,1808,8514
798,9039,5018,1770,2117,8905
799,8045,5065,1388,2033,8486
800,8200,5512,1383,1969,8864
801,8312,5112,1547,1969,8628
802,8534,5234,1397,2118,8749
803,8547,5368,1207,2233,8808
804,7892,5475,1225,1895,8595
805,7790,5002,1427,1728,8157
806,7913,5100,1119,1895,8114
807,7650,5162,1203,1999,8364
808,8087,5172,1415,2008,8595
809,7827,5158,1489,2075,8722
810,8220,4695,1768,1850,8313
811,8811,4909,1704,2429,9042
812,7951,5391,1256,1854,8501
813,8477,5298,1749,1695,8742
814,8685,5132,1843,2083,9058
815,8183,5134,1653,2035,8822
816,8089,5075,1519,2187,8781
817,8321,5270,1487,1979,8736
818,8195,5875,926,1981,8782
819,8369,4822,1479,2288,8589
820,7534,5130,1414,1881,8425
821,8288,5449,1565,1977,8991
822,7722,5301,1337,1881,8519
823,7784,5184,1232,1897,8313
824,8734,4786,2081,2087,8954
825,8596,5206,1403,2401,9010
826,8135,4308,2103,2101,8512
827,8119,5528,1248,1851,8627
828,8611,4987,1857,1939,8783
829,7896,5096,1503,1835,8434
830,8151,5702,1277,1981,8960
831,8502,4901,1727,1984,8612
832,8124,5664,1091,1976,8731
833,8153,5334,1256,2061,8651
834,7977,5706,1182,1999,8887
